Timestamp,Container,CPU%,Memory,MemoryPerc,NetworkIO,BlockIO
2025-08-30 03:22:45,log-collector-poc-vector-1,0.06%,45.49MiB / 7.758GiB,0.57%,866B / 126B,96.9MB / 0B
2025-08-30 03:22:52,log-collector-poc-vector-1,0.05%,45.49MiB / 7.758GiB,0.57%,866B / 126B,96.9MB / 0B
2025-08-30 03:22:58,log-collector-poc-vector-1,0.05%,45.48MiB / 7.758GiB,0.57%,866B / 126B,96.9MB / 0B
2025-08-30 03:23:05,log-collector-poc-vector-1,0.06%,45.48MiB / 7.758GiB,0.57%,866B / 126B,96.9MB / 0B
2025-08-30 03:23:12,log-collector-poc-vector-1,0.06%,45.48MiB / 7.758GiB,0.57%,866B / 126B,96.9MB / 0B
2025-08-30 03:23:19,log-collector-poc-vector-1,0.06%,45.48MiB / 7.758GiB,0.57%,866B / 126B,96.9MB / 0B
2025-08-30 03:23:26,log-collector-poc-vector-1,0.05%,45.48MiB / 7.758GiB,0.57%,866B / 126B,96.9MB / 0B
2025-08-30 03:23:32,log-collector-poc-vector-1,0.06%,9.133MiB / 7.758GiB,0.11%,866B / 126B,96.9MB / 0B
2025-08-30 03:23:39,log-collector-poc-vector-1,0.06%,9.133MiB / 7.758GiB,0.11%,866B / 126B,96.9MB / 0B
